subject_group	total
Music & Performing Arts/Acting - Study and teaching	10
Anthropology, Ethnology, Exploration & Travel/Collingwood (Vic.)	3
Education, Instruction, Teaching & Schools/Line and staff organization	7
Anthropology, Ethnology, Exploration & Travel/Gippsland (Vic.)	34
Music & Performing Arts/Magic	79
History/Great Britain - Church history - Anglo Saxon period, 449-1066	4
Mathematics, Science & Technology/Petroleum as fuel	12
Economics, Philosophy, Politics, Religion & Sociology/Aboriginal Australians - Politics and government	39
Anthropology, Ethnology, Exploration & Travel/Ottawa (Ont.)	8
Economics, Philosophy, Politics, Religion & Sociology/Religions	46
History/Mythology, Hindu	5
Music & Performing Arts/Barker, Howard	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Day care centers	11
Climate, Environment, Natural Resources & Disasters/Weed control	14
Hobbies, Recreation & Sport/Walking	16
Agriculture, Business, Commerce & Industry/Assembly-line methods	5
Crafts & Visual Arts/Weyden, Roger van der, 1400 (ca)-1464	2
Hobbies, Recreation & Sport/Horse sports	55
Animals & Wildlife/Cattle stations	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/Vision	27
Music & Performing Arts/Music - Papua New Guinea	4
Animals & Wildlife/Wombats	5
Economics, Philosophy, Politics, Religion & Sociology/Automobiles - Social aspects	40
Climate, Environment, Natural Resources & Disasters/Weather forecasting	32
Communications, Infrastructure, & Transport/Aeronautics - Great Britain	34
People/Jane Seymour, Queen, Consort of Henry VIII, King of England, 1509-1537	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Rescue work	49
Mathematics, Science & Technology/Scientific recreations	7
Crafts & Visual Arts/Duchamp, Marcel, 1887-1968	2
Agriculture, Business, Commerce & Industry/Power tools	12
Agriculture, Business, Commerce & Industry/Agriculture - Italy	2
Mathematics, Science & Technology/Science	245
Climate, Environment, Natural Resources & Disasters/Tundra ecology	4
History/Stalin, Joseph, 1879-1953	23
Hobbies, Recreation & Sport/Outdoor recreation - Australia	82
Crafts & Visual Arts/Aesthetics	16
History/Trade routes - History	19
Places/Canada	42
Crafts & Visual Arts/Milne, David	1
Anthropology, Ethnology, Exploration & Travel/Melbourne (Vic.) - Buildings, structures, etc	20
Economics, Philosophy, Politics, Religion & Sociology/Unificationists	3
Crafts & Visual Arts/Rouault, Georges, 1871-1958	1
Economics, Philosophy, Politics, Religion & Sociology/Canada - Foreign Relations	19
Crafts & Visual Arts/Kozic, Maria	1
Crime, Espionage, Justice, Police & Prisons/Computer crimes	8
Climate, Environment, Natural Resources & Disasters/Antinuclear movement - Australia	3
Anthropology, Ethnology, Exploration & Travel/Glasgow (Scotland)	15
Crafts & Visual Arts/Art and technology	18
Agriculture, Business, Commerce & Industry/Fashion	93
Crafts & Visual Arts/Arts - Great Britain	35
History/Islamic fundamentalism - Afghanistan	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Communication in organizations	12
Anthropology, Ethnology, Exploration & Travel/Essendon Airport (Vic.)	4
Agriculture, Business, Commerce & Industry/Farmers - Prince Edward Island	4
Family, Gender Identity, Relationships & Sexuality/Teenagers - Sexual behavior	93
History/Holliday, John Henry, 1851-1887	1
Anthropology, Ethnology, Exploration & Travel/Kiribati	5
Education, Instruction, Teaching & Schools/Photography - Study and teaching	49
Armed Forces, Military, War & Weapons/South African war, 1899-1902	6
History/Renaissance	28
Communications, Infrastructure, & Transport/Automobile industry and trade	55
People/Anderson, Lindsay, 1923-	1
People/Bradman, Donald, Sir, 1908-	17
Crafts & Visual Arts/Classicism in art	12
Crime, Espionage, Justice, Police & Prisons/Detention of persons - Australia	6
Economics, Philosophy, Politics, Religion & Sociology/France - Politics and government	35
Music & Performing Arts/Byrne, David	5
Economics, Philosophy, Politics, Religion & Sociology/South America - Social conditions	15
Food, Health, Lifestyle, Medicine, Psychology & Safety/Ability	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Embryology, Human	21
Anthropology, Ethnology, Exploration & Travel/Kokoda Trail (Papua New Guinea)	5
Anthropology, Ethnology, Exploration & Travel/Great Britain - Social life and customs	128
Anthropology, Ethnology, Exploration & Travel/Indians of South America - Peru	8
History/Hadrian's Wall (England)	4
Education, Instruction, Teaching & Schools/Editors	7
Music & Performing Arts/Lee, Gypsy Rose, 1914-1970	2
Anthropology, Ethnology, Exploration & Travel/Biculturalism	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Footwear	13
Animals & Wildlife/Aquatic biology	57
Crafts & Visual Arts/Postmodernism	32
Music & Performing Arts/Righteous Babe (Musical group)	1
Advertising, Film, Journalism, Mass Media & TV/Counterculture - United States	13
People/Bancroft, Bronwyn	2
Anthropology, Ethnology, Exploration & Travel/Antarctica	12
Education, Instruction, Teaching & Schools/Biology - Study and teaching (Primary)	19
Food, Health, Lifestyle, Medicine, Psychology & Safety/Models, Fashion	44
Music & Performing Arts/Stringed instruments	28
Climate, Environment, Natural Resources & Disasters/Wilderness areas - Northern Territory	5
People/Jill Ker Conway	1
People/Bruce, Lenny	2
Economics, Philosophy, Politics, Religion & Sociology/Drug abuse - Social aspects	64
People/DovaShenko, Oleksandr, 1894-1956	1
Mathematics, Science & Technology/Lysergic acid diethylamide	7
People/Morrison, John, 1904-	1
Anthropology, Ethnology, Exploration & Travel/Rhine River Valley	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Medical personnel	48
Food, Health, Lifestyle, Medicine, Psychology & Safety/Physically handicapped - Employment	23
Magic, Occult & Supernatural/Fairy tales	31
Economics, Philosophy, Politics, Religion & Sociology/Goodwin, Joan	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Victoria. Country Fire Authority	5
Agriculture, Business, Commerce & Industry/Leather industry and trade	1
Economics, Philosophy, Politics, Religion & Sociology/Women - Australia	83
Music & Performing Arts/Reggae music	10
Anthropology, Ethnology, Exploration & Travel/Bantus - South Africa	5
Anthropology, Ethnology, Exploration & Travel/Tourist trade - Environmental aspects	13
Food, Health, Lifestyle, Medicine, Psychology & Safety/Blood - Coagulation	3
Economics, Philosophy, Politics, Religion & Sociology/Cost and standard of living	12
Family, Gender Identity, Relationships & Sexuality/Children	155
People/Wunuwun, Jack	1
Places/Stanley (Tas.)	2
Agriculture, Business, Commerce & Industry/Written communication	8
Advertising, Film, Journalism, Mass Media & TV/Cooper, Gary	3
Economics, Philosophy, Politics, Religion & Sociology/Social case work with youth	8
Education, Instruction, Teaching & Schools/Police training	9
Mathematics, Science & Technology/Air conditioning	6
Hobbies, Recreation & Sport/Leadership	51
Family, Gender Identity, Relationships & Sexuality/Women immigrants	30
Anthropology, Ethnology, Exploration & Travel/Iran	14
History/Chile - History	3
History/Anti-apartheid movements - South Africa	13
Anthropology, Ethnology, Exploration & Travel/Iraq	10
Mathematics, Science & Technology/Lunar craters	8
History/Berlin (Germany) - History - Division of East and West	64
Music & Performing Arts/Theater - Soviet Union	3
Communications, Infrastructure, & Transport/Railroads - Australia	52
Armed Forces, Military, War & Weapons/World War, 1914-1918 - War work - Australia	2
Advertising, Film, Journalism, Mass Media & TV/Lumiere, Louis, 1864-1948	10
History/Taliban	6
History/Saints	14
Animals & Wildlife/Myriapods	2
Economics, Philosophy, Politics, Religion & Sociology/Silkwood, Karen	2
Anthropology, Ethnology, Exploration & Travel/Grampians (Vic.)	3
Economics, Philosophy, Politics, Religion & Sociology/United States - Foreign relations	52
Music & Performing Arts/Dire Straits (Musical group)	1
Economics, Philosophy, Politics, Religion & Sociology/Reincarnation	4
People/Williams, Fred, 1927-1982	6
Agriculture, Business, Commerce & Industry/Bauxite	7
Economics, Philosophy, Politics, Religion & Sociology/Asia, Southeastern - Social conditions	13
People/Napoleon I, Emperor of the French, 1769-1821	23
People/Politicians - Biography	41
People/Cagney, James, 1899-	1
Hobbies, Recreation & Sport/Lacrosse	11
Places/Costa Rica	4
Hobbies, Recreation & Sport/Playgrounds	26
Places/Farne Islands (England)	3
People/Friend, Donald, 1915-1989	4
Communications, Infrastructure, & Transport/Railroads - Canada	7
People/Clunies Ross, Ian, Sir, 1899-1959	1
Climate, Environment, Natural Resources & Disasters/Earth - Crust	17
Anthropology, Ethnology, Exploration & Travel/City and town life	86
Anthropology, Ethnology, Exploration & Travel/Florence (Italy)	14
Advertising, Film, Journalism, Mass Media & TV/Television programs for children	109
Economics, Philosophy, Politics, Religion & Sociology/Nuclear disarmament	15
Communications, Infrastructure, & Transport/Skyscrapers	5
Economics, Philosophy, Politics, Religion & Sociology/Defense reaction (Physiology)	11
Economics, Philosophy, Politics, Religion & Sociology/Schumacher, E.F. (Ernst Friedrich)	2
History/O'Connor, Charles Yelverton, 1843-1902	1
Economics, Philosophy, Politics, Religion & Sociology/World War, 1914-1918 - Economic aspects - Australia	1
Agriculture, Business, Commerce & Industry/Fibers	8
Advertising, Film, Journalism, Mass Media & TV/Astaire, Fred, 1899-1987	5
Aboriginal Australia/Aboriginal Australians - Children	39
Communications, Infrastructure, & Transport/Real estate development	11
People/Deitch, Gene	1
Economics, Philosophy, Politics, Religion & Sociology/Social service	31
Family, Gender Identity, Relationships & Sexuality/Femininity	4
People/Reich, Wilhelm, 1897-1957	2
Education, Instruction, Teaching & Schools/Science - Vocational guidance	9
Advertising, Film, Journalism, Mass Media & TV/Television - Psychological aspects	32
Animals & Wildlife/Wild horses	5
Economics, Philosophy, Politics, Religion & Sociology/Community development	72
Communications, Infrastructure, & Transport/Seamanship	25
Places/England	21
Armed Forces, Military, War & Weapons/War damage to buildings - Japan	3
Advertising, Film, Journalism, Mass Media & TV/Film archives	4
Magic, Occult & Supernatural/Time travel in motion pictures	21
History/North Atlantic Treaty Organization	30
People/Kirkpatrick, John Simpson	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Mouth	4
Economics, Philosophy, Politics, Religion & Sociology/Monasteries - England	5
Music & Performing Arts/Punk rock music	23
Anthropology, Ethnology, Exploration & Travel/Stockholm (Sweden)	8
Agriculture, Business, Commerce & Industry/Wood chips industry	3
Crime, Espionage, Justice, Police & Prisons/Tracking and trailing	7
People/Clements, Charlie	1
Hobbies, Recreation & Sport/Scouts and scouting	35
Anthropology, Ethnology, Exploration & Travel/Melbourne (Vic.)	138
People/Wright, Judith, 1915-2000	3
Anthropology, Ethnology, Exploration & Travel/Afghanistan - Description and travel	5
People/Dante Alighieri, 1265-1321	5
Climate, Environment, Natural Resources & Disasters/Environmental law	8
Animals & Wildlife/Birds, Protection of - Australia	6
Hobbies, Recreation & Sport/Surfboards	9
Food, Health, Lifestyle, Medicine, Psychology & Safety/Deafness	53
Anthropology, Ethnology, Exploration & Travel/Falkland Islands	5
Advertising, Film, Journalism, Mass Media & TV/Motion picture trailers	430
History/Pirates	25
Anthropology, Ethnology, Exploration & Travel/Mount Buffalo (Vic.)	10
Family, Gender Identity, Relationships & Sexuality/Friedan, Betty, 1921-	1
History/War - History	30
People/Scullion, Louise, 1966-	1
Advertising, Film, Journalism, Mass Media & TV/Motion picture industry - Iran - History	2
Mathematics, Science & Technology/Engineering - Computer programs	7
Anthropology, Ethnology, Exploration & Travel/Tea - India	4
People/Weller, Archie	3
Mathematics, Science & Technology/Wool research - Australia	7
Education, Instruction, Teaching & Schools/Education, Rural	10
Hobbies, Recreation & Sport/Vaulting	9
Food, Health, Lifestyle, Medicine, Psychology & Safety/Teenage pregnancy	29
Crime, Espionage, Justice, Police & Prisons/Rape	77
Education, Instruction, Teaching & Schools/Classroom management	82
Advertising, Film, Journalism, Mass Media & TV/Motion picture producers and directors - United States	42
Literature/Tennant, Kylie, 1912-1988	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Perception	29
Animals & Wildlife/Predatory animals	31
Literature/Morris, William, 1834-1896	1
Economics, Philosophy, Politics, Religion & Sociology/Children - Social conditions - Study and teaching (Primary)	8
Music & Performing Arts/Turner, Tina, 1939-	2
Animals & Wildlife/Marine resources	13
Family, Gender Identity, Relationships & Sexuality/Childhood	77
Places/Newfoundland	10
Music & Performing Arts/Crazy Horse (Musical group)	1
Economics, Philosophy, Politics, Religion & Sociology/Canada - Race relations	17
Food, Health, Lifestyle, Medicine, Psychology & Safety/Gawler, Ian, 1950-	1
Crafts & Visual Arts/Hester, Joy, 1920-1960	1
History/Genghis Khan, 1162-1227	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Adulthood	13
Music & Performing Arts/Motown Record Corporation	4
Literature/South African literature - Film and video adaptations	1
Anthropology, Ethnology, Exploration & Travel/Swan Hill (Vic.)	6
Education, Instruction, Teaching & Schools/Communication skills	76
Crafts & Visual Arts/Handicapped and the arts	5
Literature/Novelists, Australian	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/X-rays	26
People/Caruso, Enrico, 1973-1921	1
Communications, Infrastructure, & Transport/Australia. Postmaster-General's Dept.	7
Animals & Wildlife/Mice	7
Economics, Philosophy, Politics, Religion & Sociology/Social integration - United States	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Nature and nurture	36
Places/Manchester (England)	3
Economics, Philosophy, Politics, Religion & Sociology/Consumer protection	10
History/Myer, Sidney Baillieu, 1926-	1
Crafts & Visual Arts/Architecture, Modern - 20th century	27
Mathematics, Science & Technology/Rocks, Crystalline	5
People/Sturt, Charles, 1795-1869	4
Agriculture, Business, Commerce & Industry/Shearing sheds	3
Mathematics, Science & Technology/Scientific satellites	18
Economics, Philosophy, Politics, Religion & Sociology/Brazil - Economic conditions	10
Anthropology, Ethnology, Exploration & Travel/Housing - Hong Kong	4
Economics, Philosophy, Politics, Religion & Sociology/Papua New Guinea - Social conditions	39
Agriculture, Business, Commerce & Industry/Interior design	6
Anthropology, Ethnology, Exploration & Travel/Children - Soviet Union - Social life and customs	9
Crafts & Visual Arts/Knitting	5
Music & Performing Arts/Circus	34
Anthropology, Ethnology, Exploration & Travel/Jasper National Park (Alta.)	4
Mathematics, Science & Technology/Nuclear physics	18
People/Whitlam, Gough, 1916-	12
Food, Health, Lifestyle, Medicine, Psychology & Safety/Home economics	16
Communications, Infrastructure, & Transport/Indian-Pacific (Train)	3
History/Endeavour (Ship)	4
Animals & Wildlife/Foxes	8
Music & Performing Arts/Tap dancing	16
Aboriginal Australia/Songs, Aboriginal Australian	4
Armed Forces, Military, War & Weapons/Pran, Dith	1
Anthropology, Ethnology, Exploration & Travel/Sicily (Italy)	3
Places/Gold Coast (Qld.)	5
Economics, Philosophy, Politics, Religion & Sociology/Yap (Micronesia)	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Abusive men	8
Crafts & Visual Arts/Papermaking	11
Music & Performing Arts/Playwrighting - Australia	4
Anthropology, Ethnology, Exploration & Travel/Family - United States	76
Communications, Infrastructure, & Transport/Sanitation	5
Places/Murray Valley	3
Places/Papunya (N.T.)	4
Crime, Espionage, Justice, Police & Prisons/Caper drama	31
People/Bennett, Gordon	2
Mathematics, Science & Technology/Geologists	16
Food, Health, Lifestyle, Medicine, Psychology & Safety/Love	296
People/Playwrights - Biography	12
History/Truman, Harry S., 1884-1972	7
Anthropology, Ethnology, Exploration & Travel/Mallacoota (Vic.)	4
History/Roman law - Influences	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Accidents	37
Communications, Infrastructure, & Transport/Sewerage	4
Crafts & Visual Arts/Barlow, Gordon	1
Music & Performing Arts/Wailers (Reggae group)	1
Communications, Infrastructure, & Transport/Urban renewal	45
Economics, Philosophy, Politics, Religion & Sociology/Culture - Social aspects	127
Literature/Italian literature - Film and video adaptations	13
Hobbies, Recreation & Sport/Scuba diving	19
People/Jackson, Andrew, 1767-1845	2
People/Adenauer, Konrad, 1876-1967	12
Economics, Philosophy, Politics, Religion & Sociology/International relations and culture	44
Literature/Stead, Christina, 1902-1983	1
Climate, Environment, Natural Resources & Disasters/Rivers	57
Food, Health, Lifestyle, Medicine, Psychology & Safety	1
Crafts & Visual Arts/Stone carving	16
People/Enya	1
Anthropology, Ethnology, Exploration & Travel/Nepal - Description and travel	7
Animals & Wildlife/Birds - Migration	19
Education, Instruction, Teaching & Schools/Geometry - Study and teaching	18
Communications, Infrastructure, & Transport/Transportation - Australia	56
Crafts & Visual Arts/Tintoretto, 1512-1594	2
People/Lockhart, Greg	1
Communications, Infrastructure, & Transport/Road construction	24
Economics, Philosophy, Politics, Religion & Sociology/Manser, Bruno	1
Agriculture, Business, Commerce & Industry/Oil analysis	6
People/Gascoigne, Rosalie, 1917-	2
Places/Niagara Falls (N.Y.)	6
People/Brando, Marlon, 1924-	2
Literature/Baldwin, James, 1924-1987	1
Advertising, Film, Journalism, Mass Media & TV/Motion picture industry - Canada	13
Economics, Philosophy, Politics, Religion & Sociology/Discrimination against the handicapped	26
Armed Forces, Military, War & Weapons/Bombs - Safety measures	6
Crafts & Visual Arts/Roberts, Tom, 1856-1931	12
Animals & Wildlife/Chimpanzees	18
Animals & Wildlife/Horsemen and horsewomen	17
Music & Performing Arts/Tchaikovsky, Peter Ilich, 1840-1893	12
Economics, Philosophy, Politics, Religion & Sociology/Industrial relations - Canada	11
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Personal narratives, Australian	20
Places/Oregon (U.S.A.)	3
Economics, Philosophy, Politics, Religion & Sociology/Humanism	19
Places/Bendigo (Vic.)	4
Family, Gender Identity, Relationships & Sexuality/Relationships	247
People/Sackville West, Vita	1
People/Levine, Les, 1935-	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Handicapped children - Rehabilitation	15
Crafts & Visual Arts/Pollock, Jackson, 1912-1956	8
Economics, Philosophy, Politics, Religion & Sociology/Housing development - Great Britain	16
People/Piper, John	3
Crafts & Visual Arts/Photographers - Biography	20
People/Sutherland, Margaret	1
People/Cottee, Kay	1
Climate, Environment, Natural Resources & Disasters/Pesticides - Toxicology	9
Food, Health, Lifestyle, Medicine, Psychology & Safety/Intellect	22
Music & Performing Arts/Experimental theater	11
Economics, Philosophy, Politics, Religion & Sociology/Institutional care	18
History/Processions	6
People/Catharine Parr, Queen, Consort of Henry VIII, 1512-1548	2
Anthropology, Ethnology, Exploration & Travel/Maori (New Zealand people)	23
Hobbies, Recreation & Sport/Handicapped youth - Recreation	4
Crime, Espionage, Justice, Police & Prisons/Prisoners - Attitudes	17
Mathematics, Science & Technology/Temperature - Juvenile Films	3
Economics, Philosophy, Politics, Religion & Sociology/Convents and nunneries - Great Britain	3
Climate, Environment, Natural Resources & Disasters/Gardens - History	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Short-term memory	8
History/Ambassadors	6
Economics, Philosophy, Politics, Religion & Sociology/Levellers	1
Places/Falls Creek (Vic.)	2
Economics, Philosophy, Politics, Religion & Sociology/Minorities - Social aspects	15
Food, Health, Lifestyle, Medicine, Psychology & Safety/Desserts	6
Places/Queen Victoria Market (Melbourne, Vic.)	4
Agriculture, Business, Commerce & Industry/Job stress	13
Crafts & Visual Arts/Impressionist artists	3
History/Indians of North America - History	15
Economics, Philosophy, Politics, Religion & Sociology/Spiritual healing	12
People/Haas, Ernst	2
People/Bretherton, Diane	1
Mathematics, Science & Technology/Fractions	5
Literature/Picture books for children	31
Education, Instruction, Teaching & Schools/Rewards and punishments in education	3
Agriculture, Business, Commerce & Industry/Industries - India	23
People/Columbus, Christopher, 1451-1506	6
People/Pinochet Ugarte, Augusto	3
Crime, Espionage, Justice, Police & Prisons/Internal security - United States	6
Family, Gender Identity, Relationships & Sexuality/Sex (Biology)	9
Family, Gender Identity, Relationships & Sexuality/Young adults	18
Advertising, Film, Journalism, Mass Media & TV/Brakhage, Stan	1
Music & Performing Arts/Beiderbecke, Bix, 1903-1931	2
Literature/Folk literature, Ukrainian	4
Anthropology, Ethnology, Exploration & Travel/Wales	10
Aboriginal Australia/Aboriginal Australian authors	3
Economics, Philosophy, Politics, Religion & Sociology/Teenagers	208
People/Carden, Joan	1
Armed Forces, Military, War & Weapons/East and west	27
People/Watling, Thomas, b. 1762	1
Animals & Wildlife/Feral animals - Control	1
Mathematics, Science & Technology/Artificial intelligence	11
Anthropology, Ethnology, Exploration & Travel/Village communities - India	23
Economics, Philosophy, Politics, Religion & Sociology/Solomon Islands - Economic conditions	3
Agriculture, Business, Commerce & Industry/Industries - Italy	4
Places/Yap (Micronesia)	1
Climate, Environment, Natural Resources & Disasters/Wetland ecology	10
People/Koch, C. J. (Christopher John), 1932-	1
Family, Gender Identity, Relationships & Sexuality/Personality and culture	25
Economics, Philosophy, Politics, Religion & Sociology/Government, Resistance to	5
Places/Hamersley Range (W.A.)	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Siamese twins	4
Crafts & Visual Arts/Brunellschi, Filippo, 1377-1446	4
People/Watkins, Peter, 1935-	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Mental illness	98
Climate, Environment, Natural Resources & Disasters/Rivers - Regulation	21
Economics, Philosophy, Politics, Religion & Sociology/Moral development in children	38
Economics, Philosophy, Politics, Religion & Sociology/Communism and social sciences	12
Anthropology, Ethnology, Exploration & Travel/Developing countries	59
Economics, Philosophy, Politics, Religion & Sociology/Great Britain. Parliament. House of Commons	6
Places/Broadway (New York, N.Y.)	2
Communications, Infrastructure, & Transport/International airports	10
Advertising, Film, Journalism, Mass Media & TV/Attenborough, Richard, 1923-	1
Mathematics, Science & Technology/Bridge construction	16
Literature/Children's literature - Film and video adaptations	935
Economics, Philosophy, Politics, Religion & Sociology/Unemployed youth	6
People/Wilkomirska, Wanda	1
History/Goering, Hermann, 1893-1946	2
History/Europe - Politics and government - 20th century	12
People/Cartland, Barbara, 1902-2000	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Scabies	4
People/Mora, Mirka, 1928-	3
Anthropology, Ethnology, Exploration & Travel/Yosemite National Park (Calif.)	3
Economics, Philosophy, Politics, Religion & Sociology/Muslim pilgrims and pilgrimages - Saudi Arabia - Mecca	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Assertiveness in adolescence	10
Anthropology, Ethnology, Exploration & Travel/Federation Square (Melbourne, Vic.)	1
People/Hayworth, Rita, 1918-1987	1
Aboriginal Australia/Aboriginal Australians - Kinship	12
History/Allende Gossens, Salvador, President, Chile	2
Anthropology, Ethnology, Exploration & Travel/Snow and ice climbing	14
People/Strupp, Hans	1
Advertising, Film, Journalism, Mass Media & TV/Television series	335
Places/Central Park (New York, N.Y.)	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Industrial hygiene	15
Climate, Environment, Natural Resources & Disasters/Air - Pollution	53
People/Fitzroy, Robert, 1805-1865	1
People/Turrotte, Shirley	1
Anthropology, Ethnology, Exploration & Travel/Explorers - Australia	39
Hobbies, Recreation & Sport/Hockey - Rules	4
History/Assassination	33
Animals & Wildlife/Locusts	6
Economics, Philosophy, Politics, Religion & Sociology/Mechanization - Economic aspects	7
Communications, Infrastructure, & Transport/Victoria. Country Fire Authority	5
Family, Gender Identity, Relationships & Sexuality/Adultery	185
Economics, Philosophy, Politics, Religion & Sociology/Community education	47
People/Kennedy, Robert, F. (Robert Francis), 1925-1968	3
People/Moses (Biblical leader)	3
Crime, Espionage, Justice, Police & Prisons/Assassination	34
People/Mitchell, W. O. (William Ormond), 1914-	1
People/Picasso, Pablo, 1881-1973	30
Music & Performing Arts/Valens, Ritchie, 1941-1959	2
People/Tudawali, Robert	1
People/Boyd, William	1
Anthropology, Ethnology, Exploration & Travel/Western Australia	24
Anthropology, Ethnology, Exploration & Travel/Islands - Indonesia	6
Education, Instruction, Teaching & Schools/Career development	145
Agriculture, Business, Commerce & Industry/Construction industry	25
People/Gupta, V. J. (Vishwa Jit), 1942-	1
Animals & Wildlife/Amphibians - Metamorphosis	18
Food, Health, Lifestyle, Medicine, Psychology & Safety/Puberty	33
People/Daumier, Honore, 1808-1879	2
People/Verrazano, Giovanni da, 1485?-1527	2
Advertising, Film, Journalism, Mass Media & TV/National Film Board of Canada	5
People/Thesiger, Wilfred, 1910-.	1
Anthropology, Ethnology, Exploration & Travel/Cockatoo Island Dockyard (N.S.W.)	3
Advertising, Film, Journalism, Mass Media & TV/Radio broadcasting - Australia	12
Climate, Environment, Natural Resources & Disasters/Deserts	48
People/Ryan, Ronald, 1925-1967	2
Agriculture, Business, Commerce & Industry/Africa - Rural conditions	12
Armed Forces, Military, War & Weapons/Bombing, Aerial	23
Anthropology, Ethnology, Exploration & Travel/Kew Cottages (Kew, Vic.)	3
Crafts & Visual Arts/Fashion designers	34
Animals & Wildlife/Biological research	28
Family, Gender Identity, Relationships & Sexuality/Parent-teacher relationships	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Traffic accidents - Prevention	56
Anthropology, Ethnology, Exploration & Travel/McPherson Range (NSW & Qld)	1
Music & Performing Arts/Acting - Technique	7
People/Evans, Robert, 1930-	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Breast feeding	7
Animals & Wildlife/Wildlife conservation	81
Literature/Kafka, Franz	6
Education, Instruction, Teaching & Schools/Resource programs (Education)	12
Agriculture, Business, Commerce & Industry/Retail trade	17
Advertising, Film, Journalism, Mass Media & TV/Motion pictures - Appreciation	80
Anthropology, Ethnology, Exploration & Travel/Lebanese - Australia	17
Advertising, Film, Journalism, Mass Media & TV/Kurosawa, Akira, 1910-1998	4
People/Klein, Robin	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Competition (Psychology)	46
Family, Gender Identity, Relationships & Sexuality/Conflict management	74
History/Armenia - History	1
Agriculture, Business, Commerce & Industry/Porcelain	14
Crafts & Visual Arts/Morris, William, 1834-1896	1
Music & Performing Arts/Opera companies - Italy	7
Anthropology, Ethnology, Exploration & Travel/Urbanization	78
Anthropology, Ethnology, Exploration & Travel/Timor Island	16
Animals & Wildlife/Eels	3
Armed Forces, Military, War & Weapons/Hannibal, 247-182 B.C.	2
People/Fitzgerald, R.D.	1
Hobbies, Recreation & Sport/Rafting (Sports)	6
Animals & Wildlife/Colonies (Biology)	5
Anthropology, Ethnology, Exploration & Travel/Great Artesan Basin	2
Animals & Wildlife/Gorilla	12
Anthropology, Ethnology, Exploration & Travel/Tourism	44
People/Smyth, Gwenda	1
History/Refugees - Palestine	6
People/Ho, Chi Minh, 1890-1969	5
Anthropology, Ethnology, Exploration & Travel/African Americans	72
Crafts & Visual Arts/Aboriginal Australians - Painting	24
Economics, Philosophy, Politics, Religion & Sociology/Obedience	7
Animals & Wildlife/Cranes (Birds)	3
Literature/Eskimos - Legends	11
Animals & Wildlife/Wildlife - Sweden	6
Aboriginal Australia/Aboriginal Australians - New South Wales - Sydney	10
People/Helpmann, Robert, Sir, 1909-1986	8
People/Schanberg, Sydney	1
Economics, Philosophy, Politics, Religion & Sociology/Alien labor	14
Agriculture, Business, Commerce & Industry/Postal - Employees	4
History/Gold mines and mining - California - History - 19th century	3
People/Sansom, Gareth, 1939-	1
Places/New Orleans (La.)	13
Hobbies, Recreation & Sport/Royal Melbourne Show	7
Armed Forces, Military, War & Weapons/Nuclear weapons - safety measures	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Protective devices	13
Family, Gender Identity, Relationships & Sexuality/Child abuse - Prevention	5
Anthropology, Ethnology, Exploration & Travel/Weipa (Qld.)	5
Family, Gender Identity, Relationships & Sexuality/Cognition in infants	7
Music & Performing Arts/Warner, Dave, 1953-	1
Communications, Infrastructure, & Transport/Sewage disposal - Australia	3
Economics, Philosophy, Politics, Religion & Sociology/Housing - Australia	33
Hobbies, Recreation & Sport/McKay, Heather, 1941-	1
Economics, Philosophy, Politics, Religion & Sociology/Friedan, Betty, 1921-	1
History/Cairns, Jim	3
Education, Instruction, Teaching & Schools/Teaching - Aids and devices	103
History/Communism - China	58
Economics, Philosophy, Politics, Religion & Sociology/Women political activists	24
Climate, Environment, Natural Resources & Disasters/Earthquakes - Pacific area	4
Anthropology, Ethnology, Exploration & Travel/Mythology, Egyptian	12
Anthropology, Ethnology, Exploration & Travel/Port Franklin (Vic.)	1
