subject_group	total
Anthropology, Ethnology, Exploration & Travel/Burnie (Tas.)	3
Places/New Hebrides	4
Economics, Philosophy, Politics, Religion & Sociology/Ethnic attitudes	41
Mathematics, Science & Technology/Genetic engineering	28
People/Perkins, Charles, 1936-	1
Anthropology, Ethnology, Exploration & Travel/Youth - Great Britain	20
Crime, Espionage, Justice, Police & Prisons/Legal services	5
Crafts & Visual Arts/Architects and community	16
Crafts & Visual Arts/Cabinet-work	18
Places/Ravenswood (Qld.)	1
Economics, Philosophy, Politics, Religion & Sociology/Islamic fundamentalism - Afghanistan	6
Anthropology, Ethnology, Exploration & Travel/Tuaregs - Social life and customs	3
Armed Forces, Military, War & Weapons/Israel-Arab Border Conflicts, 1949-	16
Food, Health, Lifestyle, Medicine, Psychology & Safety/Children - Hospital care	17
People/Chagall, Marc, 1887-1985	7
Crafts & Visual Arts/Politics in art - Germany	4
Anthropology, Ethnology, Exploration & Travel/Mythology, Hindu	5
People/Barnum, P.T. (Phineas Taylor), 1810-1891	2
Mathematics, Science & Technology/Metals	48
History/Communist countries	5
Climate, Environment, Natural Resources & Disasters/Garden ecology	7
Places/Eyre Highway	2
Communications, Infrastructure, & Transport/Telecommunication	32
Advertising, Film, Journalism, Mass Media & TV/Motion pictures - United States - History	77
Economics, Philosophy, Politics, Religion & Sociology/Cities and towns - Italy	10
Anthropology, Ethnology, Exploration & Travel/Darwin (N.T.)	22
Crime, Espionage, Justice, Police & Prisons/Internal security - Canada	3
Education, Instruction, Teaching & Schools/Science - Study and teaching (Primary)	36
People/Petyarre, Gloria, 1945?-	1
Economics, Philosophy, Politics, Religion & Sociology/Urbanization	78
Education, Instruction, Teaching & Schools	3
People/Hughan, Harold	1
Music & Performing Arts/Music camps	5
Education, Instruction, Teaching & Schools/Libraries and readers	13
Climate, Environment, Natural Resources & Disasters/Grasses - Australia	4
Mathematics, Science & Technology/Solar system	53
Communications, Infrastructure, & Transport/Automobiles - Design and construction	96
Armed Forces, Military, War & Weapons/War damage to buildings - Poland	3
Places/Westernport (Vic.)	3
People/Matisse, Henri, 1869-1954	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Choice (Psychology)	38
Anthropology, Ethnology, Exploration & Travel/Diamond Valley (Vic.)	1
Economics, Philosophy, Politics, Religion & Sociology/Pankhurst, Emmeline, 1858-1928	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Pharmaceutical ethics	7
Anthropology, Ethnology, Exploration & Travel/Children - Africa	15
Music & Performing Arts/Rock music - History and criticism	30
Advertising, Film, Journalism, Mass Media & TV/Lamarr, Hedy, 1915-	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Mental health	103
Anthropology, Ethnology, Exploration & Travel/British Columbia	49
Economics, Philosophy, Politics, Religion & Sociology/Plato	3
People/Saints	14
Family, Gender Identity, Relationships & Sexuality/Children - Japan	13
Anthropology, Ethnology, Exploration & Travel/Murray Valley	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Psychic research	5
Mathematics, Science & Technology/Rocks, Metamorphic	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Middle aged men - Health and hygiene	8
Music & Performing Arts/Osborne, John, 1929-	1
People/Lahey, Vida, 1882-1968	1
People/Brakhage, Stan	1
Hobbies, Recreation & Sport/Water polo	6
Communications, Infrastructure, & Transport/Radio waves	22
Communications, Infrastructure, & Transport/Conferences	15
Literature/Dostoyevsky, Fyodor, 1821-1881	4
Agriculture, Business, Commerce & Industry/Farm life - Italy	2
History/Europe - History - 392-814	3
Literature/Frost, Robert, 1874-1963	1
Advertising, Film, Journalism, Mass Media & TV/British Broadcasting Corporation	3
Crafts & Visual Arts/Art, Aboriginal Australian	53
Food, Health, Lifestyle, Medicine, Psychology & Safety/Employees - Health programs	11
Economics, Philosophy, Politics, Religion & Sociology/Child welfare	58
History/Jinnah, Mahomed Ali, 1876-1948	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Ambulance service - Australia	6
Crafts & Visual Arts/Architecture - Conservation and restoration	18
Crafts & Visual Arts/Sculpture, Greek	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Stress in children	16
Economics, Philosophy, Politics, Religion & Sociology/Commonwealth of Nations	55
Food, Health, Lifestyle, Medicine, Psychology & Safety/Conflict (Psychology)	53
Music & Performing Arts/Ballets - Excerpts	18
Anthropology, Ethnology, Exploration & Travel/Eskimos	27
Advertising, Film, Journalism, Mass Media & TV/Amateur motion pictures	19
Advertising, Film, Journalism, Mass Media & TV/Reality television programs	4
Education, Instruction, Teaching & Schools/Educational equalization	14
Agriculture, Business, Commerce & Industry/Tractors	12
Food, Health, Lifestyle, Medicine, Psychology & Safety/Red Cross	10
Crafts & Visual Arts/Sculptors - Italy	4
Economics, Philosophy, Politics, Religion & Sociology/Snedden, Billy, Sir, 1926-1987	1
Agriculture, Business, Commerce & Industry/Petroleum as fuel	12
Communications, Infrastructure, & Transport/Aeronautical instruments	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Passive smoking - Health aspects	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Coronary disease	11
People/Barr, Margaret, 1904-1991	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Nutritionally induced diseases	4
