length	total
00:05:39	5
00:21:27	3
00:21:26	1
00:21:21	3
00:21:20	7
00:21:23	18
00:21:22	7
00:05:30	28
00:05:31	3
00:05:32	9
00:05:33	18
00:05:34	2
00:05:35	6
00:05:36	4
00:05:37	6
00:18:21	4
00:18:20	27
01:23:18	1
00:18:23	7
05:03:00	2
01:32:27	1
00:18:25	14
00:18:24	1
00:53:59	1
00:06:51	1
00:53:55	2
00:18:26	4
00:53:50	2
00:53:53	1
00:28:44	3
07:27:00	1
00:19:56	2
00:28:46	1
06:08:00	2
02:17:00	28
00:28:47	5
05:05:00	2
01:46:08	1
01:37:48	1
00:28:40	13
01:46:00	140
00:28:41	3
00:55:57	1
00:55:56	1
00:00:12	2
00:55:53	2
00:28:42	7
00:55:50	1
00:28:43	7
00:55:58	1
00:26:28	6
00:20:53	8
08:44:00	1
00:00:18	1
00:26:20	12
00:26:21	1
00:26:22	5
00:26:23	13
00:26:24	2
00:26:25	11
00:26:26	1
00:26:27	10
01:20:08	1
01:04:54	1
01:37:47	1
08:42:00	2
03:09:00	1
06:54:12	1
00:26:42	5
01:42:32	1
00:26:43	5
00:10:52	18
00:48:40	2
00:12:59	3
00:48:47	1
00:48:45	1
00:12:52	10
00:12:53	15
00:12:50	26
00:12:51	2
00:12:56	1
00:12:57	14
00:12:54	5
00:10:55	16
01:20:07	1
07:05:00	2
01:12:32	1
00:10:57	22
01:30:35	1
01:30:37	2
00:29:48	2
01:28:48	1
00:30:00	1266
00:29:43	8
00:29:42	3
01:16:45	1
00:29:40	5
00:29:47	2
00:29:46	1
00:29:45	7
02:01:21	1
00:05:05	11
01:40:45	1
01:48:00	111
00:11:42	8
00:05:06	4
06:00:00	3
00:11:44	2
00:11:45	18
00:03:10	9
00:03:11	9
00:03:12	12
00:03:13	16
00:03:14	11
00:25:34	1
00:03:16	6
00:03:17	10
00:03:18	7
00:03:19	6
00:11:47	10
00:28:08	3
00:28:09	1
05:20:00	3
01:18:22	1
00:28:00	568
00:28:02	12
00:28:03	17
00:28:04	3
00:28:05	7
00:28:06	3
00:28:07	15
00:49:48	2
00:49:41	1
00:49:40	3
01:38:25	1
00:49:45	1
07:34:56	1
01:49:00	75
00:54:18	1
01:49:04	1
00:54:19	1
00:01:23	3
00:01:22	7
00:01:21	4
00:01:20	5
00:01:27	3
00:01:26	2
00:01:25	4
01:39:42	1
00:01:29	5
00:01:28	5
01:51:55	1
01:41:29	1
00:46:45	1
00:46:46	1
00:46:40	2
00:46:41	1
00:46:42	1
00:46:43	1
13:00:00	3
01:33:12	1
02:10:12	1
01:41:26	1
00:23:12	6
00:23:13	8
00:23:10	2
00:00:38	4
00:23:16	1
00:23:17	5
00:23:15	5
00:00:33	1
00:00:31	6
00:00:30	21
00:00:36	2
00:00:35	2
01:50:43	1
00:44:08	1
00:20:39	1
00:20:38	4
00:20:35	6
00:20:34	3
00:44:00	64
00:44:01	1
00:20:31	2
00:20:30	10
00:20:33	14
00:20:32	5
00:04:20	11
00:04:21	5
00:04:22	9
00:04:23	3
00:04:24	6
00:04:25	2
00:04:26	6
00:04:27	11
00:04:28	4
00:04:29	5
00:55:32	1
00:25:14	2
00:25:15	9
00:09:29	6
00:09:28	4
00:25:10	14
00:25:11	2
00:25:12	10
00:25:13	9
00:09:23	11
00:09:22	18
00:09:21	3
00:09:20	23
00:09:27	36
00:09:26	5
00:09:25	22
00:09:24	6
00:42:00	50
00:42:02	1
00:22:33	6
00:22:32	2
03:23:00	7
00:22:30	15
00:22:37	4
00:22:35	4
00:22:39	2
00:22:38	7
00:45:10	1
00:47:43	1
02:45:00	26
00:47:47	1
00:47:45	1
00:47:44	1
02:02:22	1
00:40:06	1
04:48:00	1
00:40:00	195
00:40:08	2
00:39:45	1
00:39:42	1
00:39:43	1
00:21:18	9
00:21:19	3
00:21:10	10
00:21:11	2
00:21:12	9
00:21:13	2
00:21:15	18
00:21:16	1
00:21:17	7
00:41:41	1
00:41:40	3
00:41:45	1
00:41:44	1
00:05:29	2
04:14:26	1
01:21:33	1
00:05:26	2
00:05:25	13
00:05:24	5
00:05:23	7
00:05:22	11
00:05:21	2
00:05:20	8
01:31:40	1
01:05:42	1
01:05:43	2
00:29:08	1
00:27:18	9
00:27:16	2
00:27:17	13
00:27:14	1
00:27:15	15
00:27:12	7
00:27:13	17
00:27:10	13
00:27:11	2
05:15:00	2
03:11:00	2
01:46:30	1
01:46:32	1
00:43:27	1
01:46:37	1
00:05:07	5
01:25:32	1
00:13:33	13
01:15:45	1
01:15:47	1
00:35:29	1
00:53:25	1
00:26:39	2
00:26:38	5
00:26:37	6
00:26:36	4
00:26:35	6
00:26:34	2
00:26:33	7
00:26:32	6
00:26:31	1
00:26:30	21
00:43:29	1
00:34:55	1
00:31:08	2
00:13:31	1
00:15:29	1
02:09:12	1
00:43:28	2
01:56:50	1
01:56:57	1
00:55:37	1
00:53:27	1
01:42:22	2
01:42:26	1
00:35:25	2
02:32:05	1
01:25:48	1
00:24:16	1
00:12:49	3
00:12:48	17
00:48:53	3
00:48:55	1
01:02:57	1
00:48:57	1
00:12:41	3
00:12:40	18
00:12:43	17
00:12:42	9
00:12:45	21
00:12:44	5
00:12:47	34
00:12:46	5
00:43:17	1
02:07:15	1
01:30:00	458
01:30:01	1
06:52:00	1
02:24:37	1
00:51:58	1
00:29:38	3
00:29:39	1
00:29:36	2
00:29:37	6
00:29:34	1
01:01:32	1
00:29:32	5
02:04:30	1
00:29:30	19
00:29:31	1
02:20:20	1
00:08:46	2
01:32:00	167
01:32:05	2
00:23:27	3
01:32:09	1
03:50:00	3
00:39:27	1
01:14:03	1
03:34:00	4
00:39:21	1
00:03:07	12
00:03:06	9
00:03:05	10
00:03:04	12
00:03:03	10
00:03:02	5
00:03:01	11
00:03:00	113
00:39:23	1
00:03:09	10
00:03:08	13
01:01:14	1
00:28:19	1
00:28:18	4
00:28:17	6
00:28:16	3
00:28:15	13
00:28:14	1
00:28:13	4
00:28:12	20
00:28:11	3
00:28:10	13
01:38:38	1
00:48:50	1
03:32:00	2
01:02:50	1
03:25:00	3
01:49:16	1
01:49:15	1
01:32:32	1
01:14:36	1
02:40:30	1
00:01:56	6
00:01:57	8
00:46:59	1
00:01:55	7
00:01:52	2
00:01:53	7
06:28:48	1
00:01:51	5
00:46:53	2
00:46:50	1
00:01:58	6
00:01:59	3
00:48:58	1
01:07:00	24
00:21:33	12
00:07:58	6
00:07:59	2
00:43:30	2
00:43:37	1
00:43:35	2
00:07:50	15
00:07:51	2
00:43:38	2
00:07:53	7
00:07:54	7
00:07:55	20
00:07:56	6
00:07:57	10
04:11:00	1
00:23:00	231
00:23:03	15
00:23:02	2
00:23:05	6
00:23:07	8
00:00:49	1
00:23:09	1
00:00:47	3
04:35:00	3
00:00:45	2
00:00:42	3
00:00:43	7
00:00:40	8
00:00:41	2
00:20:00	540
00:20:02	7
00:20:03	7
00:20:04	2
00:20:05	8
00:20:07	5
00:20:08	13
03:22:00	2
00:12:55	27
00:04:37	10
00:04:36	5
00:04:35	10
00:04:34	2
00:04:33	6
00:04:32	4
00:04:31	4
00:04:30	26
00:04:39	2
00:04:38	2
01:41:00	120
01:26:22	1
00:09:58	11
00:09:59	1
00:09:56	8
00:09:57	20
00:09:54	3
00:09:55	32
00:09:52	17
00:09:53	15
00:09:50	34
00:09:51	7
00:42:13	1
03:24:00	3
00:42:16	1
01:36:09	1
01:36:07	1
00:42:18	2
01:36:00	170
00:22:46	1
00:22:47	13
00:22:44	2
00:22:45	5
00:22:42	6
00:22:43	2
00:22:40	8
00:22:41	1
00:22:48	9
00:22:49	1
00:47:34	1
00:47:35	2
00:47:32	2
00:37:02	1
00:47:30	1
00:47:31	1
03:27:00	3
00:24:48	4
00:40:14	1
00:40:10	3
00:40:12	1
00:24:40	12
00:24:41	3
00:24:42	1
00:24:43	17
00:24:44	4
00:24:45	8
00:24:47	1
00:39:58	1
00:39:54	1
00:39:57	3
00:39:50	2
00:39:53	1
00:39:52	1
03:29:00	3
00:21:08	5
00:21:07	13
00:21:06	2
00:21:05	7
00:21:03	6
00:21:02	14
00:21:01	1
00:21:00	262
00:25:08	7
01:35:05	1
00:25:03	3
00:25:02	8
00:25:01	1
00:25:00	575
00:25:07	3
00:25:06	2
00:25:05	6
04:42:00	2
00:29:35	8
00:29:33	5
02:08:00	43
01:01:37	1
01:27:40	3
04:50:00	1
00:27:09	4
00:27:08	9
00:27:05	15
00:27:04	4
00:27:07	4
01:08:31	1
00:27:00	366
00:27:03	10
00:27:02	9
04:31:02	1
00:54:41	1
09:35:00	1
00:54:40	1
01:46:28	1
00:16:39	2
00:33:11	1
02:27:00	18
00:36:07	4
03:28:00	4
00:36:05	1
01:05:50	1
02:33:00	11
01:32:03	1
01:31:32	1
00:10:38	31
00:10:39	4
00:10:32	25
00:10:33	89
00:10:30	82
00:10:31	8
00:10:36	2
00:10:37	32
00:10:34	1
00:10:35	27
01:56:22	1
01:42:56	1
05:44:00	3
01:02:45	1
01:35:24	1
00:45:40	1
01:44:50	1
02:07:00	44
01:29:22	1
01:37:40	1
01:30:10	1
02:04:00	59
00:29:29	3
00:29:28	3
00:29:25	12
00:29:24	4
00:29:27	9
00:29:26	1
00:29:21	3
00:29:20	13
00:29:23	12
00:29:22	4
00:13:28	17
00:06:40	14
00:06:41	2
00:18:30	22
00:06:43	8
00:18:36	2
00:06:45	10
00:06:46	4
00:06:47	8
00:06:48	13
00:06:49	2
00:18:38	10
00:18:39	1
01:03:00	33
01:18:48	1
01:18:47	1
01:38:00	193
02:00:47	1
04:10:00	10
00:01:45	3
00:01:44	1
00:01:47	2
00:01:46	3
00:01:41	2
00:01:40	8
00:01:43	3
00:01:42	5
00:46:25	1
00:01:49	2
00:01:48	2
00:46:20	1
02:05:00	73
01:52:23	1
01:52:26	1
01:07:10	1
02:01:00	53
01:07:17	1
00:43:20	3
00:43:22	1
01:33:38	1
00:27:56	2
00:07:49	2
00:07:48	5
00:07:47	11
00:07:46	5
00:07:45	14
00:07:44	5
00:07:43	8
00:07:42	7
00:07:41	2
00:07:40	10
00:23:34	1
00:23:36	3
00:23:37	14
00:00:59	4
00:23:31	1
00:23:32	4
00:23:33	3
00:00:55	2
00:00:54	3
00:00:57	3
00:00:56	1
00:23:38	3
00:00:50	5
00:00:53	3
00:00:52	4
00:20:17	13
00:20:16	2
00:20:15	12
00:20:14	2
00:20:13	9
01:37:00	186
00:20:11	2
00:20:10	4
00:44:27	5
01:34:17	1
02:03:00	53
00:20:19	2
00:20:18	6
03:55:00	3
00:27:54	1
00:09:49	5
00:09:48	12
00:09:45	22
00:09:44	8
00:09:47	16
00:09:46	6
00:09:41	3
00:09:40	23
00:09:43	61
01:39:00	105
00:58:10	2
05:18:09	1
03:57:00	1
00:22:55	6
00:22:57	1
00:22:50	4
00:22:53	6
00:22:52	1
00:22:59	2
00:22:58	6
00:38:13	1
03:40:00	4
00:48:07	1
