length	total
01:59:27	1
01:26:53	1
00:42:57	1
00:42:55	1
01:59:28	1
03:23:56	1
01:08:33	1
00:52:23	1
02:52:00	11
00:19:54	2
00:52:20	2
00:52:27	1
01:13:30	2
01:13:31	1
00:08:08	6
01:13:38	1
02:12:27	1
01:08:39	1
04:30:00	9
00:41:32	1
01:06:55	1
02:50:53	1
00:41:37	2
02:16:08	1
01:35:43	1
01:34:30	1
02:16:03	1
00:25:47	6
00:25:45	6
00:25:44	2
00:25:43	3
00:25:42	14
00:25:40	6
02:53:00	16
00:25:49	1
00:25:48	2
00:15:26	3
00:15:27	7
00:15:24	3
00:15:25	19
00:15:22	6
00:15:23	4
00:15:20	23
00:15:21	2
00:16:49	3
04:57:00	1
00:15:28	10
00:08:07	4
00:51:53	2
00:51:52	2
00:51:50	1
00:51:57	2
00:51:55	1
00:51:54	1
02:32:08	1
02:16:00	33
01:29:50	1
02:51:00	8
00:14:29	1
00:14:28	12
00:14:25	7
00:14:24	5
00:14:27	27
00:14:26	5
00:14:21	2
00:14:20	24
00:14:23	16
00:14:22	10
01:03:20	1
01:56:30	1
00:13:50	32
00:13:53	44
00:13:52	10
00:13:55	16
00:13:54	3
00:13:57	11
00:13:56	3
00:13:59	3
00:13:58	13
00:57:51	1
00:57:50	5
00:57:55	4
00:57:54	2
00:57:57	1
01:14:42	1
00:57:58	1
01:09:10	2
01:15:15	1
00:16:38	4
00:00:22	3
00:16:34	2
00:16:35	3
00:16:36	1
00:16:37	9
00:16:30	19
00:16:31	2
00:16:32	14
00:16:33	8
02:16:32	1
01:05:18	1
01:00:09	1
01:00:08	1
00:20:22	9
01:00:00	613
02:09:43	1
01:00:06	1
00:20:23	12
03:30:00	6
02:35:00	18
00:10:49	2
00:54:32	1
00:54:30	4
00:54:36	1
02:30:00	68
00:26:51	2
00:26:50	4
02:34:00	17
04:51:00	1
00:26:53	2
00:36:20	2
01:54:26	1
00:26:52	9
02:37:00	18
00:26:55	10
02:19:00	32
00:26:54	1
00:10:41	2
01:01:40	1
00:26:56	2
01:01:45	1
01:01:47	1
00:34:00	68
00:17:12	6
00:59:53	1
00:59:51	1
00:59:50	1
00:59:55	1
00:58:36	1
00:25:21	1
00:58:35	1
00:58:33	1
00:58:30	3
00:11:56	2
00:30:33	12
02:34:17	1
00:25:23	8
00:58:39	4
00:37:28	2
00:37:22	1
00:25:25	7
00:37:21	1
00:37:26	1
00:37:27	1
00:25:24	2
00:25:27	9
00:25:26	1
01:47:47	2
00:48:20	1
00:12:39	2
00:32:27	2
00:32:40	4
00:32:20	3
00:48:26	1
00:25:28	11
00:12:30	43
00:12:31	1
00:12:32	12
00:12:33	9
00:12:34	3
01:02:00	38
00:12:36	3
00:12:37	7
01:55:22	1
01:29:08	1
00:54:02	1
00:45:23	2
01:29:00	110
00:45:24	1
00:19:13	7
00:19:12	5
00:19:11	3
00:19:10	18
00:19:17	6
00:19:16	1
00:19:15	10
00:19:14	3
00:19:19	1
00:19:18	8
01:24:00	110
01:39:36	1
00:48:05	1
00:54:05	1
00:09:35	19
00:54:04	1
00:17:19	3
01:07:57	1
01:39:35	1
01:32:52	1
03:46:00	3
05:30:00	5
01:39:30	1
00:09:33	13
00:33:56	1
01:50:20	1
01:50:23	1
04:00:00	18
01:50:29	1
00:42:33	1
00:42:34	2
00:49:29	1
00:49:28	1
00:49:27	3
00:49:25	2
00:49:24	1
01:01:00	37
00:49:22	2
00:49:20	1
00:35:41	1
00:13:09	2
00:49:08	1
01:22:55	1
02:57:00	10
05:37:00	2
00:13:04	5
08:15:00	12
05:09:00	1
00:19:38	6
00:06:42	4
06:49:00	1
04:08:00	2
01:13:20	1
00:22:20	7
04:52:00	2
01:45:17	1
02:29:00	17
01:17:32	1
00:45:08	2
01:17:38	1
01:58:32	1
00:41:25	2
00:41:23	1
00:15:35	10
00:15:34	1
00:15:37	13
00:15:36	2
00:15:31	2
00:15:30	23
00:15:33	27
00:15:32	10
00:15:39	2
00:15:38	16
00:11:22	10
00:11:23	22
00:11:20	15
00:11:21	4
00:11:26	2
00:11:27	14
00:51:20	4
00:51:21	1
00:11:28	10
00:11:29	1
00:51:28	4
00:14:10	31
00:14:11	1
00:38:18	3
00:14:13	16
00:14:14	2
00:14:15	20
00:14:16	3
00:14:17	10
00:14:18	20
00:14:19	3
00:38:10	1
03:20:00	27
00:38:14	1
02:09:00	38
02:55:00	20
02:08:57	1
05:51:00	1
01:14:50	1
00:03:44	14
01:14:54	1
02:08:52	1
00:16:23	15
00:16:22	11
00:16:21	1
00:16:20	15
00:16:27	9
00:16:26	3
00:16:25	11
01:52:05	1
04:06:00	2
00:16:28	5
00:34:43	2
00:34:45	1
00:31:18	3
01:20:12	1
01:20:17	1
00:30:12	2
00:30:13	4
00:30:10	5
00:30:16	2
00:30:17	8
00:30:14	4
00:30:15	6
00:30:18	2
	2136
00:54:20	1
00:54:23	1
00:54:27	1
00:51:25	2
00:51:23	1
00:36:14	1
00:36:15	3
00:11:24	3
00:31:15	4
00:11:25	10
00:36:19	1
01:01:58	1
00:55:23	2
00:54:53	1
05:57:00	1
00:59:28	1
00:18:22	5
00:59:25	1
00:59:20	1
00:59:21	1
00:58:25	2
00:58:24	1
00:58:20	1
00:14:12	9
01:06:28	1
00:37:30	1
01:06:21	1
00:39:10	1
00:32:19	1
03:06:00	11
00:32:10	2
00:32:12	1
00:32:13	5
00:32:15	4
00:32:17	1
00:48:37	2
00:48:36	2
01:02:32	1
00:12:29	3
00:12:28	12
00:12:27	8
00:12:26	4
00:12:25	14
00:12:24	3
00:12:23	13
00:12:22	14
00:12:20	16
00:45:58	3
00:45:57	1
00:45:55	2
02:32:00	10
00:45:50	3
01:50:58	1
01:51:28	1
01:51:27	1
00:54:57	1
00:21:25	7
00:21:24	2
00:34:16	3
00:34:17	2
00:34:14	2
00:34:15	1
00:34:12	2
00:41:50	1
00:34:10	6
00:34:11	1
00:07:14	9
00:02:48	7
00:02:49	8
00:02:44	9
00:02:45	12
00:02:46	4
00:02:47	7
00:02:40	8
00:02:41	15
00:02:42	4
00:02:43	10
03:18:38	1
11:40:00	1
01:35:20	2
00:58:50	1
00:21:29	1
00:21:28	4
01:45:20	1
01:22:49	1
01:22:43	1
01:22:40	1
04:56:00	3
00:43:53	2
00:43:54	1
00:43:58	1
03:51:00	2
00:50:54	1
00:50:55	1
00:50:50	2
00:50:51	1
00:50:53	3
00:50:58	3
04:04:00	3
00:19:59	1
01:01:08	1
00:02:04	6
01:12:30	1
04:58:00	2
01:01:05	1
01:19:13	1
01:19:11	1
06:53:00	1
01:19:15	1
00:05:58	7
00:05:59	2
04:02:00	1
00:05:52	8
00:05:53	5
00:05:50	10
00:05:51	5
00:05:56	4
00:05:57	6
00:05:54	7
00:05:55	6
00:51:35	3
00:11:30	22
00:11:33	13
00:11:32	10
00:11:35	10
00:51:30	6
00:11:37	11
00:11:36	5
00:11:39	1
00:11:38	8
01:08:53	2
00:14:07	12
00:14:06	2
00:14:05	14
00:14:04	2
00:14:03	14
00:14:02	14
00:14:01	1
00:14:00	546
00:38:00	43
00:38:03	2
01:16:26	1
01:16:27	1
00:14:09	3
00:14:08	16
01:13:13	1
01:13:17	2
12:34:00	1
00:12:14	3
00:06:44	6
01:57:00	79
02:13:38	1
04:05:00	3
02:13:33	1
00:53:58	1
01:11:12	1
00:16:57	21
00:16:54	1
00:16:55	7
00:16:52	18
00:16:53	7
00:16:50	12
01:11:15	1
02:16:15	1
00:16:58	5
00:15:08	10
00:15:09	3
00:15:00	551
00:15:02	11
00:15:03	14
00:15:04	3
00:15:05	15
00:15:06	2
00:15:07	12
00:10:58	22
00:10:59	4
00:26:48	8
00:26:49	2
00:18:33	5
00:10:50	59
01:20:00	169
00:26:40	16
00:10:53	13
00:26:46	1
00:26:47	12
00:10:56	4
01:20:06	1
01:40:42	1
00:30:03	5
00:30:02	2
00:30:05	4
00:30:04	3
00:30:07	10
00:30:08	10
00:18:37	18
00:17:02	9
00:17:03	8
00:17:00	339
00:17:01	2
00:17:06	1
00:18:34	1
01:24:10	1
00:17:05	12
00:54:15	1
00:17:08	8
00:18:35	5
00:54:10	2
00:54:13	2
00:33:45	2
00:33:47	1
00:33:40	2
00:33:42	1
00:33:43	1
00:18:32	8
00:56:17	1
00:56:15	1
00:56:12	1
00:56:13	1
00:41:18	1
00:56:18	3
00:55:30	4
00:55:33	2
00:31:09	3
00:55:35	1
01:25:44	1
00:31:02	4
00:31:03	5
00:31:00	123
00:31:07	5
00:31:04	2
00:31:05	1
06:20:00	2
00:59:36	1
00:59:31	1
00:59:30	1
03:13:00	6
15:05:00	1
02:17:30	1
00:37:05	1
00:37:07	1
00:37:00	41
01:06:50	1
00:32:09	2
00:32:08	2
00:32:07	1
00:32:05	2
00:32:04	1
00:32:03	1
00:32:02	1
00:32:00	74
01:26:02	1
00:52:18	2
01:26:00	107
01:02:23	1
01:02:20	1
00:36:03	1
00:52:13	5
00:52:10	7
00:36:00	44
00:52:16	2
00:52:17	3
01:02:29	1
00:52:15	3
04:55:00	1
00:35:02	1
00:35:00	113
00:45:45	2
00:45:46	1
00:45:41	1
01:29:21	1
00:35:08	1
00:45:42	2
01:52:40	1
00:34:09	1
01:52:46	1
03:04:48	1
00:34:02	3
00:18:50	9
00:18:51	3
00:18:52	8
00:18:53	19
00:18:54	3
00:18:55	9
00:18:56	1
00:18:57	6
00:18:58	5
00:18:59	1
00:58:13	2
00:58:17	1
00:02:53	17
00:02:52	14
00:02:51	9
00:02:50	10
01:12:40	1
00:02:56	8
00:02:55	14
00:05:17	18
00:02:59	9
00:02:58	19
00:05:14	2
03:18:00	5
06:32:00	1
02:38:00	17
01:40:50	1
03:19:00	4
00:04:42	7
00:04:43	11
00:04:40	13
00:04:41	3
00:04:46	6
00:04:47	10
00:04:44	3
00:04:45	9
00:04:48	7
00:04:49	5
01:22:30	1
04:54:00	1
02:40:00	34
12:00:00	1
03:43:00	1
00:43:44	1
00:43:43	1
02:39:00	8
00:18:48	7
00:43:48	1
02:18:00	42
02:19:53	1
00:51:03	1
01:17:14	1
02:14:00	34
01:17:17	1
01:17:10	1
01:35:48	1
00:26:29	2
00:15:14	3
01:19:00	47
01:19:05	2
00:05:49	5
00:05:48	9
00:40:15	1
01:32:15	1
00:51:00	120
00:05:40	11
00:05:43	6
00:05:42	6
00:05:45	16
00:05:44	4
00:05:47	11
00:51:07	3
00:11:04	1
00:11:05	7
00:11:06	1
00:11:07	52
00:11:00	746
00:11:01	1
00:11:02	19
00:11:03	9
01:08:47	1
04:07:24	1
00:11:08	12
00:11:09	2
01:08:41	1
00:38:38	1
00:38:35	2
02:15:00	38
00:38:37	1
00:38:30	1
00:38:33	1
00:50:49	1
00:50:43	2
01:13:05	2
00:50:40	3
01:13:03	1
00:41:07	2
00:50:45	1
00:50:44	1
01:11:50	1
00:57:08	1
00:57:09	1
00:57:05	3
00:57:02	2
00:57:03	1
00:57:00	109
01:58:18	1
01:09:40	1
01:09:46	1
03:41:00	2
02:13:00	43
00:16:45	9
01:11:00	37
00:16:47	7
00:08:09	2
00:16:41	1
00:16:40	52
00:16:43	4
00:16:42	1
00:08:02	6
00:08:03	21
00:08:00	306
00:08:06	6
00:16:48	7
00:08:04	3
00:08:05	6
00:15:18	3
00:15:17	31
00:15:16	3
00:15:15	12
02:12:00	30
00:15:13	9
00:15:12	10
00:15:11	1
00:15:10	11
01:00:50	1
00:26:58	13
01:20:38	1
02:11:00	27
00:10:48	15
00:10:47	20
00:10:46	6
00:10:45	35
00:10:44	7
00:10:43	37
00:10:42	35
00:26:57	16
00:10:40	56
00:30:34	5
00:30:35	7
00:30:36	2
00:30:37	8
00:30:30	13
00:30:32	3
01:40:31	2
00:30:38	6
00:30:39	1
01:40:38	1
00:54:03	1
00:17:10	8
00:17:13	18
01:24:06	2
00:17:15	4
00:17:14	5
00:17:17	4
00:17:16	2
00:33:53	2
00:17:18	5
00:54:09	1
00:33:50	1
00:33:57	1
02:10:00	54
00:33:55	3
04:12:00	1
00:53:03	1
00:53:00	131
00:13:08	12
00:53:05	1
00:13:06	3
00:13:07	17
01:10:00	113
00:13:05	14
00:13:02	17
00:13:03	37
00:13:00	405
00:13:01	2
00:57:36	1
00:46:22	1
00:15:51	1
00:46:23	2
00:56:07	1
01:15:51	1
00:56:00	125
00:56:03	2
04:26:00	2
03:44:00	3
00:31:19	1
00:55:05	2
01:25:53	2
00:55:07	1
00:55:00	310
00:55:03	1
00:31:10	2
00:31:13	3
00:31:12	6
00:55:08	2
00:31:17	2
00:59:00	87
00:59:07	1
00:59:08	1
01:54:33	1
01:43:00	131
04:20:00	4
00:35:15	2
00:37:12	1
00:37:17	2
00:57:39	1
00:37:15	2
00:37:14	2
00:45:30	2
04:21:00	2
00:52:08	1
03:45:00	15
00:52:00	306
00:52:03	6
00:52:02	3
00:52:05	2
00:52:07	2
00:52:06	2
00:19:48	9
00:35:17	2
01:29:30	1
00:35:10	1
00:35:13	3
00:20:59	1
00:19:40	13
00:19:41	4
00:19:42	8
00:19:43	15
00:19:44	3
00:19:45	18
00:19:46	1
00:19:47	7
00:43:25	1
00:34:30	3
00:34:32	1
00:51:47	2
00:34:35	3
01:52:50	1
00:18:47	6
00:18:46	3
00:18:45	19
00:18:44	2
00:18:43	4
00:18:42	5
00:18:41	2
00:18:40	14
00:58:07	2
00:58:02	2
00:18:49	1
00:58:00	176
00:02:26	13
00:02:27	5
00:02:24	4
00:02:25	8
00:02:22	7
00:02:23	7
00:02:20	12
00:02:21	2
04:40:00	1
01:42:33	1
00:39:13	1
00:02:28	10
00:02:29	5
00:39:12	3
01:33:33	1
02:42:00	11
03:56:00	1
04:22:00	1
00:23:30	17
01:45:00	186
00:00:58	3
00:04:51	3
00:04:50	12
00:04:53	6
00:04:52	10
00:04:55	7
00:04:54	3
00:04:57	6
00:04:56	2
00:04:59	5
00:04:58	7
00:12:58	12
01:22:23	2
00:20:47	4
01:15:27	1
00:00:51	6
00:23:39	5
01:12:59	1
01:15:24	1
01:12:52	1
00:48:48	1
01:37:05	1
01:17:03	1
01:17:00	54
00:45:38	1
00:07:38	13
00:07:39	2
00:07:32	6
00:07:33	5
00:07:30	23
00:07:31	4
00:07:36	2
00:07:37	4
00:07:34	1
00:07:35	8
01:12:45	1
01:19:30	2
01:19:33	3
00:11:19	4
00:11:18	9
02:28:00	19
00:11:13	13
00:11:12	17
00:11:11	4
00:11:10	19
00:11:17	12
00:11:16	1
00:11:15	20
00:51:10	1
00:26:05	3
00:30:48	3
00:38:23	1
00:38:20	4
01:20:43	1
00:38:25	1
01:16:04	1
00:38:28	1
01:16:00	73
01:16:03	1
02:18:30	1
00:50:35	2
00:50:33	2
00:50:30	4
00:50:31	2
00:57:18	2
00:57:17	3
00:57:16	1
00:57:11	2
00:57:10	1
00:30:40	3
03:10:23	1
00:24:28	9
00:24:29	1
00:30:43	5
01:14:00	54
00:24:22	6
00:24:23	7
00:24:20	16
01:40:00	308
00:24:26	2
00:24:27	7
00:24:24	1
00:24:25	8
00:08:19	3
00:08:18	11
01:11:31	1
01:11:33	1
00:08:11	4
00:08:10	11
00:08:13	7
00:08:12	19
00:08:15	19
00:08:14	5
00:08:17	9
00:08:16	5
01:01:23	1
01:15:05	1
01:15:00	138
00:30:29	1
00:30:28	1
00:17:48	10
03:47:15	1
01:00:40	1
00:30:23	4
00:30:22	3
00:30:20	6
00:30:26	1
00:30:25	9
01:00:48	1
00:17:46	1
01:40:27	1
01:28:43	1
01:24:30	1
01:41:13	1
00:17:24	3
00:17:25	8
00:17:26	1
00:17:27	5
00:17:20	15
00:33:28	3
00:17:23	3
00:33:25	2
00:33:22	1
00:17:29	3
00:33:20	4
00:53:10	1
00:53:13	1
00:53:12	2
00:13:19	3
00:13:18	11
00:53:17	1
01:27:25	1
00:13:15	18
01:10:10	1
00:13:17	13
01:27:29	2
00:13:11	2
00:13:10	21
00:13:13	13
00:13:12	24
00:56:38	2
00:56:30	5
00:56:31	1
00:48:30	4
00:56:37	2
01:46:40	1
01:59:10	1
00:55:13	1
00:55:12	2
00:09:42	15
00:55:16	1
00:55:14	1
00:31:28	1
05:10:00	2
00:31:25	2
00:31:27	1
00:31:20	2
00:31:22	1
00:31:23	2
00:33:08	1
00:59:13	2
00:59:12	1
00:59:10	1
00:48:38	1
00:59:18	1
01:43:13	1
03:08:00	5
02:44:00	11
00:13:37	26
01:47:00	96
00:27:40	17
00:27:43	10
00:27:42	9
01:27:00	139
00:52:30	5
00:27:44	2
01:29:12	1
00:28:48	7
00:28:49	3
01:29:40	1
00:19:58	8
00:19:57	11
00:28:45	12
00:19:55	11
00:13:30	30
00:19:53	5
00:19:52	10
00:19:51	2
00:19:50	12
03:49:00	1
01:19:43	1
00:34:27	2
00:34:25	2
00:34:23	3
00:34:22	1
00:34:20	2
02:43:00	12
01:28:00	134
01:28:02	2
00:02:35	7
00:02:34	14
00:02:37	10
00:02:36	9
00:02:31	13
00:02:30	9
00:02:33	8
00:02:32	12
00:02:39	5
00:02:38	16
00:06:22	7
00:06:23	7
00:06:20	6
00:06:21	3
00:06:26	2
00:06:27	9
00:06:24	7
00:06:25	4
00:06:28	6
00:06:29	3
03:47:00	2
00:59:43	2
00:03:54	8
00:03:55	14
00:03:56	6
00:03:57	7
00:03:50	11
00:03:51	7
00:03:52	11
00:03:53	9
00:35:20	1
01:23:45	2
00:35:23	3
00:03:58	6
00:03:59	4
02:46:00	11
00:35:27	2
01:22:10	1
02:47:00	5
01:10:30	1
00:03:15	10
02:48:00	9
04:46:00	1
00:54:00	97
01:12:22	1
01:12:23	1
05:50:00	3
04:28:00	1
00:28:29	1
06:12:00	1
02:14:26	1
00:07:28	4
00:07:21	1
00:07:20	16
00:07:23	12
00:07:22	8
00:07:25	8
00:07:24	3
00:07:27	5
01:23:39	1
01:19:23	1
00:51:17	1
01:19:21	1
01:19:20	1
01:19:27	1
03:37:00	1
00:51:12	1
00:27:06	2
00:38:57	2
00:38:55	2
00:38:53	2
02:31:11	1
01:16:14	2
01:18:28	1
02:49:00	6
00:50:28	1
00:50:25	3
00:50:27	1
00:50:20	1
00:50:23	1
06:29:59	1
00:57:20	2
00:57:22	1
00:40:49	1
00:57:25	1
00:40:42	2
00:40:43	1
00:40:40	1
00:40:46	2
00:40:47	1
00:40:45	1
00:24:38	7
01:11:28	1
00:24:31	2
00:24:30	19
00:24:33	5
00:24:32	7
00:24:35	5
00:24:34	1
00:24:37	8
00:24:36	1
00:39:02	1
00:39:00	39
00:08:28	9
00:08:29	3
03:15:00	7
00:08:24	3
00:08:25	6
00:08:26	3
00:08:27	8
00:08:20	40
00:08:21	3
00:08:22	4
00:08:23	6
01:16:23	1
00:21:58	4
00:21:59	1
00:21:55	2
00:21:56	2
00:21:57	16
00:21:50	11
00:21:52	2
00:21:53	5
00:58:53	1
02:31:00	15
00:49:42	3
00:30:58	3
00:30:59	1
00:30:57	4
01:40:12	1
00:30:55	6
00:30:52	2
00:30:53	1
00:30:50	9
00:30:51	1
00:17:39	2
00:17:38	14
00:24:08	2
00:17:33	1
00:17:32	10
00:17:31	4
00:17:30	33
00:17:37	10
00:17:36	1
00:17:35	4
00:17:34	3
00:33:35	1
00:33:34	2
00:33:30	2
00:33:33	1
00:33:32	1
00:13:20	41
00:13:21	3
00:13:22	9
00:13:23	9
00:53:20	2
00:13:25	10
00:13:26	5
00:27:55	14
03:14:00	5
00:27:58	11
00:27:59	1
01:10:20	1
00:53:29	1
07:02:25	1
00:36:32	2
00:48:35	3
00:56:28	1
00:56:27	1
00:56:26	1
00:56:25	2
00:56:23	2
00:36:30	1
00:56:21	1
00:56:20	1
00:12:00	342
00:31:33	5
00:31:32	5
03:16:00	3
00:31:30	3
00:31:37	2
00:31:36	1
00:31:35	1
00:31:34	1
00:31:38	4
01:49:07	2
05:43:50	1
00:12:09	1
00:20:46	3
08:25:00	1
00:01:24	2
00:36:50	1
00:52:22	4
00:36:52	2
00:36:53	1
00:36:54	1
00:36:55	1
00:52:25	1
00:36:57	2
05:12:00	3
00:28:53	14
00:28:52	5
00:28:51	4
00:28:50	15
00:28:57	9
00:28:56	2
00:28:55	5
00:28:54	3
00:28:58	4
01:19:52	1
02:23:20	1
01:30:49	1
02:43:30	1
01:30:43	1
01:28:34	1
01:28:35	1
01:36:42	1
00:06:31	2
00:06:30	19
00:06:33	8
00:06:32	9
00:06:35	8
00:06:34	4
00:06:37	4
00:06:36	5
00:06:39	1
00:06:38	7
00:57:12	1
00:03:49	7
00:03:48	20
00:03:43	6
00:03:42	10
00:03:41	10
00:03:40	10
00:03:47	7
00:03:46	4
00:03:45	9
04:22:27	1
00:35:36	2
00:35:35	3
00:35:34	1
00:35:33	2
00:35:30	2
01:22:00	82
08:48:00	1
02:00:30	1
01:57:24	1
01:49:52	1
00:01:18	9
00:01:19	1
00:52:57	2
00:01:12	4
00:01:13	9
00:01:10	1
00:01:11	6
00:01:16	3
00:01:17	5
00:01:14	4
00:01:15	5
00:02:08	5
00:02:09	5
00:02:00	46
00:02:01	1
00:02:02	3
00:02:03	9
01:12:31	1
00:02:05	4
00:02:06	10
00:02:07	6
00:52:50	1
00:07:18	12
00:07:19	4
01:23:00	84
00:07:15	6
00:07:16	2
00:07:17	11
00:07:10	11
00:07:11	2
00:07:12	5
00:07:13	12
00:00:02	2
00:00:03	1
00:00:01	6
00:00:06	1
00:00:05	1
01:37:50	1
00:00:09	1
00:00:39	2
00:20:44	1
00:20:45	10
01:19:54	1
00:23:11	3
00:20:40	13
00:20:41	2
00:20:42	17
00:20:43	7
00:36:48	1
00:20:48	8
00:20:49	3
00:05:16	3
01:21:03	1
01:21:00	57
00:05:15	13
00:05:12	5
00:05:13	9
00:05:10	12
00:05:11	2
00:05:18	8
00:05:19	2
00:09:12	15
00:09:13	14
00:09:10	40
00:09:11	1
00:09:16	6
00:09:17	14
00:09:14	5
00:09:15	18
00:09:18	12
00:09:19	2
00:38:45	3
00:38:44	1
00:22:08	4
00:38:46	1
00:38:41	1
00:38:43	1
00:38:42	1
00:22:02	7
00:22:03	4
00:22:00	381
00:22:06	1
00:22:07	7
00:22:04	2
00:22:05	6
00:50:10	1
00:50:12	3
00:50:13	1
00:50:15	1
00:50:19	2
00:40:58	1
00:57:35	2
00:57:33	1
00:40:50	1
00:40:55	1
01:14:26	1
00:57:38	1
03:10:00	9
00:24:09	2
00:24:04	3
00:24:05	8
00:24:06	4
00:24:07	4
00:24:00	271
00:24:02	7
00:24:03	7
00:08:33	12
00:08:32	13
00:08:31	3
00:08:30	30
00:08:37	18
00:08:36	3
00:08:35	9
00:08:34	4
00:08:39	1
00:08:38	18
00:14:59	1
00:21:43	3
00:21:42	5
00:21:41	3
00:21:40	25
00:21:47	8
00:21:46	1
00:21:45	9
00:21:49	2
00:21:48	12
00:20:37	8
00:26:07	9
00:26:04	2
00:20:36	4
00:26:02	9
00:26:03	4
00:26:00	374
00:26:01	2
00:30:45	6
01:40:06	1
00:30:47	2
00:30:46	1
00:17:07	7
00:26:08	2
00:30:42	11
04:24:00	3
04:42:42	1
00:17:49	2
00:54:50	1
00:17:47	20
00:54:52	1
00:17:45	9
00:17:42	4
00:17:43	14
00:17:40	11
00:17:41	2
00:33:00	77
00:33:02	2
00:53:38	3
00:33:04	1
00:33:05	1
00:33:06	1
00:33:07	1
00:53:33	1
00:53:32	1
00:53:30	1
00:53:37	1
00:53:34	1
00:27:41	1
00:13:36	4
00:13:35	10
00:13:34	1
00:27:45	9
00:13:32	8
00:27:47	45
00:27:46	5
00:27:49	2
00:27:48	9
01:27:09	1
00:13:39	4
00:13:38	9
01:34:37	1
01:44:16	1
03:21:00	1
01:25:05	1
01:25:00	162
00:31:46	1
00:31:47	1
00:31:45	3
00:31:42	2
00:31:40	11
00:31:41	1
03:12:00	9
00:37:49	1
01:43:37	1
00:37:43	1
04:43:03	1
00:25:16	1
00:25:17	9
01:37:08	1
01:41:38	1
01:26:48	1
01:26:47	1
01:26:46	1
01:26:45	1
01:26:40	1
00:36:46	2
00:36:45	2
00:36:43	2
00:36:41	2
00:36:40	3
02:26:00	18
00:36:49	1
00:52:59	1
00:28:26	2
00:28:27	6
00:28:24	2
00:28:25	8
00:28:22	9
00:28:23	9
00:28:20	15
00:28:21	1
00:25:18	4
00:28:28	11
00:25:19	3
05:08:00	2
01:30:52	1
02:24:00	20
00:17:22	13
01:30:55	1
08:00:24	1
01:02:12	2
00:33:29	2
02:04:49	1
